time_s,V_L1_V
0.0,0.0
7.501875468867217e-05,0.00035357322065996446
0.00015003750937734434,0.001413900121325715
0.00022505626406601648,0.0031798027452744205
0.0003000750187546887,0.005649318921791038
0.00037509377344336085,0.008819703901054845
0.00045011252813203297,0.01268743264128527
0.0005251312828207052,0.017248202746453094
0.0006001500375093774,0.022496938052381114
0.0006751687921980494,0.028427792858578015
0.0007501875468867217,0.035034156802670496
0.0008252063015753938,0.04230866037382213
0.0009002250562640659,0.05024318106105411
0.0009752438109527382,0.0588288501319109
0.0010502625656414104,0.06805606003644711
0.0011252813203300824,0.07791447243104654
0.0012003000750187547,0.08839302681612426
0.0012753188297074268,0.09947994978130557
0.0013503375843960989,0.1111627648512247
0.0014253563390847711,0.1234283029246374
0.0015003750937734434,0.13626271329910053
0.0015753938484621155,0.14965147527303466
0.0016504126031507875,0.1635794103165543
0.0017254313578394598,0.1780306948020255
0.0018004501125281319,0.19298887328489128
0.0018754688672168042,0.20843687232489475
0.0019504876219054764,0.22435701483742143
0.0020255063765941485,0.24073103496428697
0.0021005251312828208,0.25754009345290446
0.0021755438859714926,0.2747647935323808
0.002250562640660165,0.2923851972747215
0.0023255813953488367,0.31038084242894837
0.0024006001500375095,0.3287307597155859
0.0024756189047261817,0.3474134905686116
0.0025506376594148536,0.3664071053116375
0.002625656414103526,0.38568922175474546
0.0027006751687921977,0.4052370241980872
0.00277569392348087,0.4250272828280426
0.0028507126781695423,0.4450363734914283
0.0029257314328582145,0.4652402978329585
0.003000750187546887,0.48561470378087357
0.0030757689422355587,0.5061349063653869
0.003150787696924231,0.5267759088543345
0.0032258064516129032,0.5475124241901619
0.003300825206301575,0.5683188967121533
0.0033758439609902473,0.5891695241475671
0.0034508627156789196,0.6100382798551351
0.003525881470367592,0.6308989353041794
0.0036009002250562638,0.6517250827723995
0.003675918979744936,0.672490158245213
0.0037509377344336083,0.6931674644993548
0.00382595648912228,0.7137301943532904
0.003900975243810953,0.7341514540668491
0.003975993998499625,0.7544042868723556
0.004051012753188297,0.7744616966194172
0.004126031507876969,0.7942966715154157
0.0042010502625656415,0.8138822079436601
0.004276069017254313,0.8331913343410781
0.004351087771942985,0.8521971351172484
0.0044261065266316575,0.8708727745965259
0.00450112528132033,0.8891915209649679
0.004576144036009002,0.907126770203738
0.0046511627906976735,0.924652069990647
0.004726181545386347,0.9417411435514916
0.004801200300075019,0.9583679134428471
0.004876219054763691,0.9745065252480133
0.0049512378094523635,0.990131371167827
0.005026256564141035,1.0052171134881138
0.005101275318829707,1.0197387079056137
0.0051762940735183794,1.0336714266942784
0.005251312828207052,1.0469908816939408
0.005326331582895724,1.0596730471034437
0.005401350337584395,1.0716942820604294
0.005476369092273068,1.0830313529901265
